Gm#,Year,Date,Month,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,DATE,OPP,Play,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
142,2016,"Saturday, Sep 10",September,boxscore,WSN,,PHI,W,3,0,,84-58,1,up 9.0,Kelley,Garcia,Melancon,3:05,1,"36,152",10-Sep,vs PHI,1,WÊ3-0,4,1,1,0,0,1,3,0,3,0,0,0.378,0.461,0.839,0.25
143,2016,"Sunday, Sep 11",September,boxscore,WSN,,PHI,W,3,2,,85-58,1,up 9.0,Gonzalez,Morgan,Melancon,2:49,0,"31,805",11-Sep,vs PHI,1,WÊ3-2,1,1,0,0,0,0,0,2,0,0,1,0.379,0.46,0.839,0.249
144,2016,"Monday, Sep 12",September,boxscore,WSN,,NYM,W,8,1,,86-58,1,up10.0,Lopez,Montero,,3:08,1,"22,832",12-Sep,vs NYM,1,WÊ8-1,2,2,0,0,0,0,1,3,2,0,0,0.381,0.458,0.839,0.248
145,2016,"Tuesday, Sep 13",September,boxscore,WSN,,NYM,L,3,4,10,86-59,1,up 9.0,Familia,Melancon,Blevins,3:22,1,"25,796",13-Sep,vs NYM,1,LÊ4-3,3,2,0,0,0,0,0,1,1,1,0,0.38,0.455,0.835,0.247
146,2016,"Wednesday, Sep 14",September,boxscore,WSN,,NYM,W,1,0,,87-59,1,up10.0,Roark,Salas,Melancon,2:30,0,"29,669",14-Sep,vs NYM,1,WÊ1-0,2,0,0,0,0,0,0,1,1,0,1,0.38,0.453,0.833,0.246
156,2016,"Monday, Sep 26",September,boxscore,WSN,,ARI,L,4,14,,91-65,1,up 8.5,Godley,Roark,,3:21,1,"18,707",26-Sep,vs ARI,0,LÊ14-4,Did not play,,,,,,,,,,,,,,
157,2016,"Tuesday, Sep 27",September,boxscore,WSN,,ARI,W,4,2,,92-65,1,up 8.5,Scherzer,Delgado,Melancon,2:40,1,"24,297",27-Sep,vs ARI,0,WÊ4-2,Did not play,,,,,,,,,,,,,,
158,2016,"Wednesday, Sep 28",September,boxscore,WSN,,ARI,L,0,3,6,92-66,1,up 7.5,Miller,Gonzalez,,1:55,1,"20,577",28-Sep,vs ARI,0,LÊ3-0,Did not play,,,,,,,,,,,,,,
159,2016,"Thursday, Sep 29",September,boxscore,WSN,,ARI,W,5,3,,93-66,1,up 8.0,Lopez,Ray,Melancon,2:55,0,"21,618",29-Sep,vs ARI,0,WÊ5-3,Did not play,,,,,,,,,,,,,,
160,2016,"Friday, Sep 30",September,boxscore,WSN,,MIA,L,4,7,,93-67,1,up 7.0,Dunn,Solis,Ramos,3:08,1,"30,857",30-Sep,vs MIA,1,LÊ7-4,4,0,0,0,0,0,0,0,4,0,0,0.372,0.441,0.813,0.242
161,2016,"Saturday, Oct 1",October,boxscore,WSN,,MIA,W,2,1,,94-67,1,up 7.0,Roark,Chen,Melancon,3:03,0,"31,635",1-Oct,vs MIA,1,WÊ2-1,3,0,1,0,0,0,1,1,2,0,0,0.373,0.44,0.813,0.243
162,2016,"Sunday, Oct 2",October,boxscore,WSN,,MIA,W,10,7,,95-67,1,up 8.0,Scherzer,Brice,Melancon,3:36,0,"28,730",2-Oct,vs MIA,1,WÊ10-7,4,1,1,1,0,0,0,1,2,0,0,0.373,0.441,0.814,0.243
1,2015,"Monday, Apr 6",April,boxscore,WSN,,NYM,L,1,3,,0-1,3,1,Colon,Scherzer,Carlyle,2:35,0,"42,295",6-Apr,vs NYM,1,LÊ3-1,4,1,2,0,0,1,1,0,1,0,0,0.5,1.25,1.75,0.5
